District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Narayanpet,2022-03,29.5,21.51876832844575,36.848680351906154,23.083284457478005,70.68123167155424,0.0017595307917888565,8.814369501466276
Narayanpet,2022-04,149.4,25.254848484848488,39.06666666666667,25.876969696969695,71.30393939393939,0.0006060606060606061,10.54
Narayanpet,2022-05,599.2,25.95425219941349,38.051906158357774,32.48739002932552,75.56656891495601,0.2029325513196481,14.10117302052786
Narayanpet,2022-06,879.5,24.412424242424244,35.21090909090909,42.93757575757576,85.53818181818181,0.3190909090909091,13.566666666666666
Narayanpet,2022-07,2971.1,23.00469208211144,30.37741935483871,68.26568914956012,95.09941348973608,0.3091176470588235,12.845
Narayanpet,2022-08,2520.2,22.789442815249267,31.0624633431085,70.89178885630498,96.2366568914956,0.1161764705882353,11.865588235294117
Narayanpet,2022-09,1492.1,22.53787878787879,31.33,68.5,96.69878787878787,0.07212121212121213,9.782424242424241
Nirmal,2019-01,86.2,13.9734149054505,30.09988876529477,34.64905450500556,85.97274749721913,0.043202764976958526,6.78905529953917
Nirmal,2019-02,18.9,17.954556650246307,33.17894088669951,32.029064039408865,77.72820197044335,0.04400510204081633,7.988775510204081
Nirmal,2019-03,136.9,21.840600667408232,36.8250278086763,26.791323692992215,68.15728587319244,0.09988479262672811,9.080299539170507
Nirmal,2019-04,167.1,25.277126436781607,40.272068965517235,21.140574712643676,60.43609195402299,0.061859356376638856,9.815733015494637
Nirmal,2019-05,26.099999999999998,28.636929922135703,42.734149054505004,15.86607341490545,43.7,0.12016129032258065,11.071198156682026
Nirmal,2019-06,2226.2,27.81035087719298,39.160877192982454,35.09105263157895,72.05280701754386,1.0238596491228071,15.314035087719299
Nirmal,2019-07,5350.1,25.015110356536503,33.05076400679118,62.06689303904924,91.33989813242783,0.9083191850594228,14.305093378607811
Nirmal,2019-08,4622.8,24.289983022071308,30.95297113752122,73.52937181663837,95.02105263157895,0.6161290322580645,12.112224108658744
Nirmal,2019-09,3930.8,23.780671506352085,30.955686630369023,74.66288566243195,94.88768905021173,0.4246823956442831,9.943194192377495
Nirmal,2019-10,2653.1,22.507611771363894,31.91312959818902,66.08998302207131,94.65016977928693,-0.005942275042444821,7.805263157894737
Nirmal,2019-11,68.8,18.890701754385965,31.61315789473684,51.92912280701754,95.45473684210526,0.011052631578947368,6.662982456140351
Nirmal,2019-12,13.4,17.0053480475382,29.25916808149406,50.51584606677985,93.45659309564233,0.03225806451612903,6.949066213921902
Nirmal,2020-01,214.8,17.087436332767403,29.49422750424448,49.08455008488964,91.34889643463498,8.230730050933785,0.0
Nirmal,2020-02,75.8,17.741016333938294,31.74029038112523,40.936479128856625,85.10254083484574,9.604718693284935,0.0
Nirmal,2020-03,112.6,21.727334465195245,35.3748726655348,37.22818336162988,81.14855687606112,10.215110356536503,0.0
Nirmal,2020-04,165.1,24.009122807017544,38.658596491228074,27.783859649122807,71.99842105263157,10.80877192982456,
Nirmal,2020-05,182.0,27.54244482173175,41.397283531409165,22.780984719864176,60.630730050933785,12.7276740237691,
Nirmal,2020-06,2667.8,25.425263157894737,35.29438596491228,51.4340350877193,87.34157894736842,13.673157894736843,0.3505263157894737
Nirmal,2020-07,4301.0,24.56989247311828,32.869977362761745,68.08290888511603,96.2800792303339,10.620203735144313,0.12088285229202038
Nirmal,2020-08,5306.2,23.99609507640068,30.28565365025467,75.18902093944538,94.50285795132994,10.73735144312394,0.5463497453310696
Nirmal,2020-09,3341.3,24.33017543859649,33.038947368421056,69.77175438596491,94.82578947368421,7.852456140350877,0.03263157894736842
Nirmal,2020-10,1641.8,22.62359932088285,32.805263157894736,59.98471986417657,93.78132427843802,0.06570458404074703,6.731918505942275
Nirmal,2020-11,0.0,17.44280701754386,31.880175438596492,41.02947368421052,88.6180701754386,0.06771929824561404,7.356666666666667
Nirmal,2020-12,0.0,13.926655348047538,30.645500848896436,35.803056027164686,90.3528013582343,0.007640067911714771,6.649235993208829
Nirmal,2021-01,0.0,16.886247877758912,31.1937181663837,44.62529711375212,92.42988115449914,,
Nirmal,2021-02,161.70000000000002,15.037218045112782,32.24793233082707,31.301127819548874,86.4968045112782,,
Nirmal,2021-03,0.0,19.754668930390494,36.361969439728355,25.1830220713073,75.3918505942275,,
Nirmal,2021-04,204.2,23.206842105263156,38.64473684210526,25.74,72.58333333333333,0.030000000000000002,9.488421052631578
Nirmal,2021-05,602.2,26.100671892497203,38.77861142217245,20.86259798432251,47.522732362821955,0.1595744680851064,8.31444568868981
Nirmal,2021-06,4550.9,24.44719298245614,33.85263157894737,54.7021052631579,91.54754385964912,0.1775438596491228,12.222280701754386
Nirmal,2021-07,10696.9,24.370628183361628,31.750424448217316,68.00050933786079,94.80237691001697,0.1799660441426146,9.982852292020373
Nirmal,2021-08,4122.6,24.263157894736842,31.50288624787776,67.77300509337861,95.5704584040747,0.05976230899830221,9.0937181663837
Nirmal,2021-09,7429.3,23.796491228070174,31.61456140350877,72.26947368421052,97.65438596491228,0.010526315789473684,8.625438596491229
Nirmal,2021-10,1111.7,21.359083191850594,32.9723259762309,54.49575551782682,95.35110356536504,0.002037351443123939,6.328353140916808
